"Carimbo de data/hora","O jogo Gael foi divertido de jogar.","Eu entendi o que precisava fazer no jogo Gael.","Os comandos e controles do jogo foram fáceis de usar.","Os desafios de raciocínio do jogo foram interessantes para mim.","As perguntas de conteúdo (matemática financeira) que apareceram no jogo fizeram sentido para mim.","O nível de dificuldade do jogo foi adequado para mim (nem muito fácil, nem muito difícil).","Enquanto jogava o Gael, eu fiquei atento/concentrado na atividade.","Senti que o jogo Gael me ajudou a rever ou aprender melhor o conteúdo trabalhado em aula (matemática financeira).","Eu me senti motivado a continuar jogando até o final do tempo de aula.","Eu gostaria de usar o Gael novamente em outras aulas.","O que você mais gostou no jogo Gael? Explique.","O que você menos gostou ou achou mais difícil no jogo Gael? Explique.","Na sua opinião, de que forma o jogo Gael ajudou (ou não ajudou) sobre este conteúdo (matemática financeira)?"
"2026/04/24 8:04:31 AM GMT-3","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","2 – Discordo","Matar os bichinhos","As perguntas difícil","ajudou a perceber que eu sou ruim em matemática"
"2026/04/24 8:04:36 AM GMT-3","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","4 – Concordo","4 – Concordo","5 – Concordo totalmente","Matar os bichos","as perguntas difícil","ajudou a perceber que eu sou péssima em matemática"
"2026/04/24 8:05:39 AM GMT-3","5 – Concordo totalmente","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","4 – Concordo","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","jogar","nao sei oq aconteceu no final do jogo","ajudou a perceber que sou desprovida de inteligencia "
"2026/04/24 8:05:39 AM GMT-3","5 – Concordo totalmente","2 – Discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","2 – Discordo","4 – Concordo","5 – Concordo totalmente","de jogar.","nao tinha muitas explicacoes e fica perdida.","ajudou a perceber q nao sou boa em matematica."
"2026/04/24 8:08:20 AM GMT-3","5 – Concordo totalmente","3 – Nem concordo nem discordo","2 – Discordo","4 – Concordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","5 – Concordo totalmente","1 – Discordo totalmente","2 – Discordo","5 – Concordo totalmente","Correr, pular, jogar","Pular e ter que dar shift ao mesmo tempo.","Não ajudou pq nunca estudei isso."
"2026/04/24 8:08:27 AM GMT-3","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","2 – Discordo","3 – Nem concordo nem discordo","2 – Discordo","4 – Concordo","4 – Concordo","a interface e atmosfera","as perguntas de porcentagem","Ele me deu vontade de aprender"
"2026/04/24 8:08:39 AM GMT-3","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","3 – Nem concordo nem discordo","4 – Concordo","fazer as contas","nao gostei dos controles do jogo","pois ele interte o jogador"
"2026/04/24 8:10:03 AM GMT-3","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","Da maneira de aprender matemática básica, pois é muito necessário aprender esse tipo de educação. ","De algumas dinâmicas e de ser um jogo muito travado.  ","Ajudou, pois consegui entender um pouco mais sobre educação financeira, como por exemplo: juros simples, juros composto, CDI, investimentos, etc."
"2026/04/24 8:10:04 AM GMT-3","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","passar por partes de parkour","matar os bixos, eu morria sempre","me ajudou um pouco na matéria de porcentagem"
"2026/04/24 8:10:21 AM GMT-3","2 – Discordo","5 – Concordo totalmente","5 – Concordo totalmente","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","4 – Concordo","1 – Discordo totalmente","1 – Discordo totalmente","1 – Discordo totalmente","de ficar pulando entre as plataformas","de ter que matar 400 bichos pra passar de fase. obs: morri todas as vezes e desisti","nao mudou muito, a maioria so chutou tudo e tinham algumas questoes um pouco dificeis de calcular"
"2026/04/24 8:12:00 AM GMT-3","4 – Concordo","5 – Concordo totalmente","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","Ele parece um RPG","As contas","pensar mais"
"2026/04/24 8:15:48 AM GMT-3","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","4 – Concordo","4 – Concordo","A forma que são distribuidas as respostas","o pulo acho que deveria ficar mais alto","de forma que deixou mais facil entender o conteudo "
"2026/04/24 8:15:52 AM GMT-3","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","gostei das perguntas objetivas e de facil compreensao","que o jogo nao salva o checkpoint de onde parei na fase anterior.","ajudou bastante!"
"2026/04/24 8:16:28 AM GMT-3","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","Eu gostei muito da dinâmica do jogo apesar de ter alguns comandos um pouco confusos, gostei do conteúdo e da estética em si, da muita vontade de ficar jogando por horas porque o jogo é extremamente confortável.","O fato de que não há um check point definitivo para deixar o jogo salvo na minha conta e sempre que eu logar ter que começar tudo de novo torna a experiência um pouco enjoativa.","Ajudou."
"2026/04/24 8:16:43 AM GMT-3","4 – Concordo","4 – Concordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","2 – Discordo","3 – Nem concordo nem discordo","A experiência e a animação do jogo.","algumas questões dificeis.","reforçando as questões e deixando o aprendizado mais divertido."
"2026/04/24 8:19:54 AM GMT-3","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","5 – Concordo totalmente","2 – Discordo","2 – Discordo","4 – Concordo","gostei do estilo","controles","na parte de calcular"
"2026/04/24 8:21:16 AM GMT-3","4 – Concordo","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","AJUDA A DESENVOLVER RACIOCINIO LOGICO E BOA CORDENAÇAO MOTORA ","JOGOS DE COMBATE, POIS TEM BOSS CHATOS DE MATAR","RACIOCINIO LOGICO"
"2026/04/24 8:21:27 AM GMT-3","4 – Concordo","4 – Concordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","4 – Concordo","4 – Concordo","A dinâmica que o jogo trouxe, e o fato de a matemática por mais presente que esteja, fica em segundo plano e deixa a jogabilidade mais fluida e não apenas preso nisso.","Algumas perguntas são realmente complicadas e o tempo de responder é muito curto.","Transforma a matemática em não apenas folhas e contas chatas, mas realmente mostra proposito e necessidade dela para 'Avançar de fase'."
"2026/04/24 8:25:06 AM GMT-3","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","2 – Discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","2 – Discordo","2 – Discordo","a parte que tinha que matar os bichos","as contas","ajudou a compreender a matéria de um jeito mais divertido"
"2026/04/24 8:25:45 AM GMT-3","2 – Discordo","4 – Concordo","4 – Concordo","4 – Concordo","1 – Discordo totalmente","2 – Discordo","5 – Concordo totalmente","4 – Concordo","1 – Discordo totalmente","1 – Discordo totalmente","gostei da forma de jogar é interessante ","as contas não estavam indo na primeira pergunta não sei se por bug do jogo ou por falta de aprendizado meu porque falta de interesse não foi, me esforcei para fazer e não consegui passar do primeiro desafio.","não fez muita diferença para mim ,não consegui passar da primeira fase pelo ocorrido do jogo ter bugado isso foi muito frustrante para mim,me estressei atoa."
"2026/04/24 8:30:52 AM GMT-3","3 – Nem concordo nem discordo","2 – Discordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","a forma do jogar e o formato do jogo.","a forma de colocar as respostas é muito difícil pular e pegar o peso pra colocar a respostas ,as respostas parece estar erradas.","ajuda a entender um pouco sobre matemática "
"2026/04/24 8:50:02 AM GMT-3","4 – Concordo","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","competição","poderia haver mais tempo","na  matematica mesmo
"
"2026/04/24 8:50:21 AM GMT-3","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","O PERSONAGEM E MUITO FOFO","as vezes  era dificil pular para outro bloco","ajudou a por em pratica os conteudos que eu so estudava na sala "
"2026/04/24 8:50:40 AM GMT-3","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","OS GRAFICOS E PERGUNTAS","O BONEQUINHO NA HORA DE PULAR","FICAR MAIS ATENTO E UTILZAR MAIS O RACIOCINIO LOGICO"
"2026/04/24 8:50:49 AM GMT-3","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","as fases do jogo pois foram divertidas","as perguntas","ajudou a pensar mais nas contas"
"2026/04/24 8:51:01 AM GMT-3","4 – Concordo","5 – Concordo totalmente","2 – Discordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","me ajuda a aprender matematica financeira ","a movimentação do jogo e travada","me ajudou a ter outra perspectiva sobre a matemática financeira "
"2026/04/24 8:51:26 AM GMT-3","5 – Concordo totalmente","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","Eu gostei de precisar usar o raciocino para poder jogar o jogo, que era uma aula bem divertida que realmente ensinava","Quando entramos no jogo, não há um objetivo claro, nem uma linha de final, que me deixou duvidas do oque fazer dentro do jogo","Ajudou bastante a revisar conteúdos sobre financias e como lidar com o dinheiro"
"2026/04/24 8:51:56 AM GMT-3","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","de como mistura fazes de combate com fazes que aplicam matematica","não tem um sheckpoint, sempre que começamos uma nova aula voltamos tudo do inicio","me ajudou a calcular porcentagem principalmente"
"2026/04/24 8:52:09 AM GMT-3","5 – Concordo totalmente","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","aprender a ter mais facilidade em contas e se divertir jogando ","as contas ","a aprender de um jeito mais facil e se divertindo jogando"
"2026/04/24 8:52:34 AM GMT-3","4 – Concordo","2 – Discordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","2 – Discordo","as demontraçoes de como ganhar e perder dinheiro","os controles","ajudou, pois fez me relembrar o conteudo de porcentagem"
"2026/04/24 8:53:07 AM GMT-3","4 – Concordo","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","3 – Nem concordo nem discordo","O Estilo de Jogo.","O Combate.","Ajudou a entender a como usar a matemática pra meios financeiros."
"2026/04/24 8:53:35 AM GMT-3","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","aprender matemática de forma mais dinamica e divertida","dificuldade para usar alguns comandos e fases do jogo","ajudou bastante, pois ficava empolgada em ver como seria a proxima fase e acertar as perguntas"
"2026/04/24 8:53:38 AM GMT-3","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","3 – Nem concordo nem discordo","2 – Discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","gostei da forma que o jogo ao mesmo tempo que ajuda a compreender a materia, mas tambem  dificultava isso e algo interessante","a dificuldade em alguns comando, e a dificuldade em algumas fase do jogo","na minha opiniao nao ajudou muito, pois tenho dificuldade e nn aprendo dessa forma, mais me ajudou a ter mais noçao sobre financias"
"2026/04/24 8:53:39 AM GMT-3","5 – Concordo totalmente","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","2 – Discordo","4 – Concordo","2 – Discordo","4 – Concordo","4 – Concordo","Os graficos do jogo,o modo de jogar e perguntas tematicas.","Algumas perguntas um pouco complexas e modo de batalha um pouco dificil","Mais ou menos."
"2026/04/24 8:54:01 AM GMT-3","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","o personagem
","os comandos","ajudou na concentração "
"2026/04/24 8:54:05 AM GMT-3","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","desvendar os desafios","pular de obstaculos altos e algumas perguntas ","me ajudou a aprender mais sobre porcentagem na pratica "
"2026/04/24 8:54:48 AM GMT-3","4 – Concordo","4 – Concordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","5 – Concordo totalmente","a facilidade de jogar e entender ","certos comandos nao estavam respondendo muito bem","ajudou a entender melhor a materia a a ver de outra forma "
"2026/04/24 8:55:11 AM GMT-3","5 – Concordo totalmente","3 – Nem concordo nem discordo","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","5 – Concordo totalmente","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","O aprendizado em geral, os desafios e principalmente as amizades nas partidas, as competições","explicação antecipada do qual era o objetivo final, de como ser o  melhor no game","não estudamos essa materia em sala, então meio que desenvolvel em nos esssa base"
"2026/04/24 8:55:49 AM GMT-3","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","5 – Concordo totalmente","gostei bastante da animaçao das habilidades do  gael","a soma dos pesos ","me dando algumas informações que eu não sabia sobre investimentos"
"2026/04/24 8:56:17 AM GMT-3","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","A parte de andar e pular com o boneco. E também a parte de por o peso até chegar no resultado.","Os cálculos grandes, as vezes eu não conseguia resolver.","Ajudou, acho que fez a gente pensar mais sobre o assunto e ajudou com os cálculos também."
"2026/04/24 8:56:18 AM GMT-3","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","3 – Nem concordo nem discordo","as etapas e pontuações conquistadas no final do jogo","os manuais de instruções não serem tão detalhados","me ajudou a rever materias dos anos passados"
"2026/04/24 8:56:34 AM GMT-3","4 – Concordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","A junção de um mini game com conteúdo de financia.","Meu jogo, não salvava meu progresso","Ajudou de forma a lidar com contas lógicas "
"2026/04/24 8:57:24 AM GMT-3","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","3 – Nem concordo nem discordo","5 – Concordo totalmente","5 – Concordo totalmente","gráficos e design em pixel bem feitos, mecânicas do jogo divertidas (fases, inimigos, ataques, poderes)","falta de utilidade nas moedas. as fases poderiam ser mais dinâmicas, poderia ter outras formas de colocar a resposta em vez de apenas puxar alavancas ou pegar pesos. os inimigos poderiam ser mais inteligentes, para não ficarem presos em qualquer lugar, como o monstro que fica teleportando pro jogador","ele trouxe problemas que vemos na vida real e também ajuda a desenvolver o raciocinio logico"
"2026/04/24 9:12:47 AM GMT-3","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","jogar","matematica, as conta ","nao"
"2026/04/24 10:09:16 AM GMT-3","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","os dash","colocar os peso na balança","ajudou"
"2026/04/24 10:10:48 AM GMT-3","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","gostei das perguntas e dos desafios","eu achei dificil no comeco , mas e bem legal","ajudou a entender as porcentagens e juros"
"2026/04/24 10:10:53 AM GMT-3","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","4 – Concordo","4 – Concordo","tudo, consegui rever conteudos esquecidos","nada, muito bom ","ajudou a ficar mais atento sobre os juros"
"2026/04/24 10:11:10 AM GMT-3","4 – Concordo","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","4 – Concordo","4 – Concordo","O mecanismo do jogo, simples e fácil","Não sei kikk","Sim, ficou mais legal de aprender"
"2026/04/24 10:11:13 AM GMT-3","5 – Concordo totalmente","4 – Concordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","4 – Concordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","A perguntas tem boa explicação e os comandos são faceis","alguns erros na questão ou na dica","me ajudou na matéria que eu tinha dificuldade e outras que eu tinha esquecido como resolvia"
"2026/04/24 10:11:17 AM GMT-3","5 – Concordo totalmente","4 – Concordo","4 – Concordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","Tudo, uma plataforma interessante ,que me fez lembrar de tudo e relembrar","as pergutinha bugada","sim, ajudou muito "
"2026/04/24 10:11:40 AM GMT-3","3 – Nem concordo nem discordo","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","2 – Discordo","3 – Nem concordo nem discordo","2 – Discordo","1 – Discordo totalmente","O tempo que passeis com meus amigos na informática ","muito repetitivo ","ajudou pq trabalhou o tema, mas é muito chato"
"2026/04/24 10:11:41 AM GMT-3","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","tudo","nada","ajudou a melhorar tudo"
"2026/04/24 10:12:24 AM GMT-3","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","2 – Discordo","das fases do  jogo","as perguntas ","ajudou a recapitular o conteudo de porcentagem "
"2026/04/24 10:12:50 AM GMT-3","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","4 – Concordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","Eu gostei mais dos momentos em que havia confrontos entre o personagem principal e os monstros.","Das contas de números grandes.","Me ajudou a melhorar o raciocínio rápido."
"2026/04/24 10:13:08 AM GMT-3","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","4 – Concordo","os desafios para passar de fase foram legais e saber que tem tempo para ganhar 3 estrelas ","achar as respostas nas balanças que tinha que somar  ","por ser interativo fez eu me concentrar mais e me interessar "
"2026/04/24 10:13:09 AM GMT-3","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","O TEMPO FORA DE SALA ","NADA TUDO TRANQUILO","LEMBREI DA MATERIA"
"2026/04/24 10:13:15 AM GMT-3","3 – Nem concordo nem discordo","2 – Discordo","4 – Concordo","4 – Concordo","2 – Discordo","4 – Concordo","2 – Discordo","1 – Discordo totalmente","1 – Discordo totalmente","4 – Concordo","nos momentos de conflito","as contas e bug","foi interessante "
"2026/04/24 10:13:16 AM GMT-3","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","Rever alguns conteúdos, nos quais não me lembrava a resolução.","Sou ruim pra matar os monstros, nunca consigo. Juntam vários, teletransportam, atiram, etc...","Relembrar matéria e raciocínio lógico. "
"2026/04/24 10:13:16 AM GMT-3","3 – Nem concordo nem discordo","5 – Concordo totalmente","4 – Concordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","2 – Discordo","4 – Concordo","nos momentos de confrontos entre o personagem e os monstros","as contas","foi interessante"
"2026/04/24 10:16:43 AM GMT-3","5 – Concordo totalmente","4 – Concordo","4 – Concordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","oh modo como e feito as pergunta de matematica, e um jeito facil de compreender","nao teve nada, achei o jogo otimo ","ajudou "
"2026/04/24 10:17:16 AM GMT-3","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","eu achei muito bom ","nao teve nada ficil",".."